food_name,Calories,protein_g,fat_g,carbs_g
"Infant formula, ready-to-feed (Enfamil EnfaCare)",71.8,2.0,3.8,7.4
"Infant formula, powder, made with water, NFS (Enfamil EnfaCare)",71.8,2.0,3.8,7.4
"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",65.28,1.6,3.24,7.43
"Infant formula, powder, made with baby water (Enfamil A.R.)",65.28,1.6,3.24,7.43
"Infant formula, NS as to form (Enfamil Gentlease)",66.53,1.53,3.49,7.25
"Infant formula, ready-to-feed (Enfamil Gentlease)",66.53,1.53,3.49,7.25
"Infant formula, powder, made with water, NFS (Enfamil Gentlease)",66.53,1.53,3.49,7.25
"Infant formula, powder, made with tap water (Enfamil EnfaCare)",71.8,2.0,3.8,7.4
"Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)",71.8,2.0,3.8,7.4
"Infant formula, powder, made with baby water (Enfamil EnfaCare)",71.8,2.0,3.8,7.4
"Infant formula, powder, made with tap water (Enfamil Gentlease)",66.53,1.53,3.49,7.25
"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",66.53,1.53,3.49,7.25
"Infant formula, powder, made with baby water (Enfamil Gentlease)",66.53,1.53,3.49,7.25
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)",68.43,1.72,3.55,7.4
"Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)",68.43,1.72,3.55,7.4
"Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)",120.78999999999999,3.03,6.27,13.06
"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)",68.43,1.72,3.55,7.4
"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)",68.43,1.72,3.55,7.4
"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)",68.43,1.72,3.55,7.4
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)",65.15,1.7,3.43,6.87
"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)",65.15,1.7,3.43,6.87
"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)",65.15,1.7,3.43,6.87
"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",65.15,1.7,3.43,6.87
"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)",65.15,1.7,3.43,6.87
"Infant formula, NS as to form (PediaSure)",98.97,2.86,4.77,11.15
"Infant formula, ready-to-feed (PediaSure)",98.97,2.86,4.77,11.15
"Infant formula, with fiber, NS as to form (PediaSure Fiber)",98.62,2.8,4.7,11.28
"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)",98.62,2.8,4.7,11.28
"Infant formula, NS as to form (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, ready-to-feed (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",66.41,1.48,3.41,7.45
"Infant formula, NS as to form (Gerber Good Start Protect)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with water, NFS (Gerber Good Start Protect)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with tap water (Gerber Good Start Protect)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)",66.41,1.48,3.41,7.45
"Infant formula, powder, made with baby water (Gerber Good Start Protect)",66.41,1.48,3.41,7.45
"Infant formula, NS as to form (Gerber Graduates Gentle)",65.0,1.41,3.28,7.46
"Infant formula, NS as to form (Gerber Graduates Protect)",65.0,1.41,3.28,7.46
"Infant formula, NS as to form (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, liquid concentrate, made with water, NFS (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, powder, made with water, NFS (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, ready-to-feed (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, liquid concentrate, made with tap water (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, liquid concentrate, made with plain bottled water (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, liquid concentrate, made with baby water (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, powder, made with tap water (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, powder, made with plain bottled water (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, powder, made with baby water (Store Brand)",66.03999999999999,1.38,3.56,7.12
"Infant formula, NS as to form (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, ready-to-feed (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, powder, made with water, NFS (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, powder, made with tap water (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, powder, made with plain bottled water (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, powder, made with baby water (Enfamil ProSobee)",65.33000000000001,1.62,3.49,6.86
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)",62.81,2.07,2.77,7.4
"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)",62.81,2.07,2.77,7.4
"Infant formula, NS as to form (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, ready-to-feed (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, powder, made with water, NFS (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, powder, made with tap water (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, powder, made with baby water (Similac Isomil Soy)",65.01,1.58,3.53,6.73
"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",66.12,1.76,3.6,6.67
"Infant formula, ready-to-feed (Similac Expert Care for Diarrhea)",66.12,1.76,3.6,6.67
